"","departamento","anio","proy","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","acr_tecp","acr_tecn","acr_univ","acr_espe","acr_maes","acr_doct","cobertura","gra_tecp","gra_tecn","gra_univ","gra_espe","gra_maes","gra_doct","oficial","privada"
"1","AMAZONAS",2010,72017," 53","  0","  0","  2","  7"," 44","  0","  0","  0","  0","  0","  8","  4","  4","  7","  5","  0","  1","  1","  0","  0","  0"," 73"," 47","  0"," 26"," 40","  0","  0"," 18","  2"," 20"," 27"," 18","  7","  2","158"," 80","  1"," 49"," 16"," 10","  1","  1","366"," 16","382",0,4,19,0,0,0,0.133,0,0,1,3,13,0,1.029,117
"2","AMAZONAS",2011,72858," 50","  0","  1","  2","  7"," 40","  0","  0","  0","  0","  0","  9","  4","  5","  7","  5","  0","  1","  1","  0","  0","  0"," 80"," 52","  0"," 28"," 42","  0","  0"," 19","  2"," 21"," 28"," 19","  7","  2","173"," 87","  1"," 53"," 18"," 12","  1","  1","389"," 20","409",0,1,57,9,27,0,0.114,11,107,21,18,12,0,869,157
"3","AMAZONAS",2012,73699," 51","  0","  0","  2","  8"," 41","  0","  0","  0","  0","  0","  9","  4","  5","  7","  5","  0","  1","  1","  0","  0","  0"," 88"," 54","  0"," 34"," 42","  0","  1"," 18","  2"," 21"," 33"," 23","  8","  2","191"," 96","  1"," 58"," 21"," 13","  1","  1","421"," 22","443",0,0,65,4,27,0,0.103,53,56,22,3,5,0,833,80
"4","AMAZONAS",2013,74541," 52","  0","  0","  2"," 10"," 40","  0","  0","  0","  0","  0"," 10","  5","  5","  7","  5","  0","  1","  1","  0","  0","  0"," 96"," 60","  0"," 36"," 44","  0","  0"," 19","  2"," 23"," 34"," 24","  8","  2","210","106","  1"," 65"," 24"," 12","  1","  1","453"," 24","477",50,1,74,2,17,3,0.083,51,35,35,5,11,0,512,221
"5","AMAZONAS",2014,75388," 61","  0","  0","  2","  9"," 50","  0","  0","  0","  0","  0"," 10","  5","  5","  7","  5","  0","  1","  1","  0","  0","  0","100"," 62","  0"," 38"," 50","  0","  0"," 22","  3"," 25"," 38"," 26"," 10","  2","229","116","  1"," 69"," 28"," 13","  1","  1","495"," 28","523",50,1,66,2,14,6,0.074,0,74,31,3,7,0,419,237
"6","ANTIOQUIA",2010,6066003," 4495","  645"," 2201"," 1544","   89","   16"," 1718","   17","  749","  697","  255"," 9916"," 2161"," 7755"," 3981"," 2880","  151","  493","  457"," 5699"," 2701"," 2998"," 9700"," 6577","  915"," 2208"," 4297"," 2101","   90","  219","  260"," 1627","15526"," 3622"," 6015"," 5889","10124"," 3111"," 1665"," 1792"," 1617"," 1174","  179","  586","65456"," 5881","71337",532,22.284,78.01,4.908,2.983,610,0.41,1.726,5.683,15.594,5.408,821,57,158.484,87.395
"7","ANTIOQUIA",2011,6143809," 4859","  754"," 2354"," 1627","  103","   21"," 2434","   43"," 1155","  931","  305","10950"," 2206"," 8744"," 4427"," 3276","  166","  515","  470"," 7081"," 3532"," 3549","10813"," 7414","  984"," 2415"," 4508"," 2197","   60","  228","  310"," 1713","17165"," 4019"," 6398"," 6748","11014"," 3406"," 1820"," 1898"," 1766"," 1305","  184","  635","73251"," 7225","80476",620,18.666,81.142,5.2,3.618,694,0.444,1.296,13.873,17.745,6.268,1.09,92,171.881,96.863
"8","ANTIOQUIA",2012,6221817," 4874","  562"," 2471"," 1702","  114","   25"," 2985","   19"," 1432"," 1218","  316","11827"," 2475"," 9352"," 4748"," 3499","  198","  568","  483"," 7577"," 4138"," 3439","11366"," 7523"," 1117"," 2726"," 4659"," 2223","   53","  252","  331"," 1800","18664"," 4560"," 6845"," 7259","12105"," 3746"," 1997"," 2127"," 2020"," 1342","  192","  681","78805"," 7562","86367",184,18.412,93.643,5.103,3.761,784,0.454,1.764,16.335,20.15,7.535,1.508,103,171.91,102.543
"9","ANTIOQUIA",2013,6299990," 5206","  690"," 2592"," 1766","  132","   26"," 2853","   11"," 1553","  928","  361","12100"," 2643"," 9457"," 4849"," 3563","  224","  569","  493"," 9388"," 5119"," 4269","12279"," 8035"," 1212"," 3032"," 5347"," 2667","   59","  312","  365"," 1944","19900"," 4939"," 7307"," 7654","13326"," 4263"," 2199"," 2314"," 2261"," 1358","  207","  724","85248"," 7365","92613",705,23.775,103.091,5.986,4.348,958,0.488,1.466,19.4,19.159,7.259,1.422,96,180.477,113.988
"10","ANTIOQUIA",2014,6378132,"  5420","   761","  2520","  1924","   183","    32","  2645","    25","  1232","   927","   461"," 12330","  2763","  9567","  4845","  3541","   222","   580","   502"," 12511","  5938","  6573"," 13405","  8763","  1318","  3324","  5858","  2984","    69","   348","   419","  2038"," 21620","  5381","  7780","  8459"," 14535","  4657","  2435","  2507","  2534","  1405","   223","   774"," 93169","  8490","101659",419,23.122,105.756,5.923,4.675,1.129,0.51,553,17.892,19.995,6.825,1.814,87,183.233,122.452
