departamento,anio,acr_tecp,acr_tecn,acr_univ,acr_espe,acr_maes,acr_doct
ATLANTICO,2010,0,448,10.745,1.348,666,33
ATLANTICO,2011,0,517,12.821,1.373,801,47
ATLANTICO,2012,725,511,17.299,1.284,598,22
ATLANTICO,2013,216,533,17.973,1.404,774,52
ATLANTICO,2014,1.565,1.875,25.391,557,854,80
ATLANTICO,2015,1.318,1.533,31.686,625,1.107,110
BOLIVAR,2010,213,2.76,5.76,194,0,0
BOLIVAR,2011,193,3.738,10.257,64,5,0
BOLIVAR,2012,658,5.855,10.894,102,25,0
BOLIVAR,2013,1.265,7.843,18.356,1.193,262,55
BOLIVAR,2014,1.222,7.709,19.483,1.142,237,73
BOLIVAR,2015,2.434,7.61,19.321,1.166,451,68
CESAR,2010,,0,763,90,0,
CESAR,2011,,0,754,65,0,
CESAR,2012,,0,1.697,68,0,
CESAR,2013,,2,1.878,43,0,
CESAR,2014,,4,1.936,16,0,
CESAR,2015,,3,1.768,25,25,
CORDOBA,2010,0,0,5.379,151,0,
CORDOBA,2011,0,0,6.064,309,0,
CORDOBA,2012,0,0,5.775,299,0,
CORDOBA,2013,99,53,6.503,0,19,
CORDOBA,2014,97,35,10.067,293,65,
CORDOBA,2015,81,45,8.344,293,44,
LA GUAJIRA,2010,0,,0,0,,
LA GUAJIRA,2011,0,,0,29,,
LA GUAJIRA,2012,0,,185,20,,
LA GUAJIRA,2013,98,,175,28,,
LA GUAJIRA,2014,89,,317,3,,
LA GUAJIRA,2015,75,,263,0,,
MAGDALENA,2010,,,510,212,0,
MAGDALENA,2011,,,663,198,0,
MAGDALENA,2012,,,2.237,122,0,
MAGDALENA,2013,,,2.517,201,0,
MAGDALENA,2014,,,2.749,205,8,
MAGDALENA,2015,,,6.103,426,113,
SAN ANDRES Y PROVIDENCIA,2010,0,0,0,0,7,0
SAN ANDRES Y PROVIDENCIA,2011,0,0,16,0,14,3
SAN ANDRES Y PROVIDENCIA,2012,0,0,40,26,12,1
SAN ANDRES Y PROVIDENCIA,2013,0,2,65,0,23,4
SAN ANDRES Y PROVIDENCIA,2014,31,1,47,0,13,7
SAN ANDRES Y PROVIDENCIA,2015,0,0,39,0,16,12
SUCRE,2010,0,0,710,26,0,
SUCRE,2011,0,216,691,74,0,
SUCRE,2012,0,184,868,49,0,
SUCRE,2013,215,116,1.123,44,0,
SUCRE,2014,460,242,1.703,3,0,
SUCRE,2015,169,481,1.271,43,33,
BOGOTA D.C.,2010,4.365,6.69,139.718,9.757,8.554,873
BOGOTA D.C.,2011,5.685,6.912,158.582,11.227,11.33,1.234
BOGOTA D.C.,2012,9.737,8.654,173.272,11.689,12.033,1.346
BOGOTA D.C.,2013,2.156,8.857,177.575,13.302,13.031,1.562
BOGOTA D.C.,2014,1.273,8.163,192.937,14.907,15.218,1.629
BOGOTA D.C.,2015,1.021,8.084,205.021,17.647,17.355,1.898
BOYACA,2010,0,1.794,19.497,1.269,385,44
BOYACA,2011,0,1.655,23.062,1.345,669,28
BOYACA,2012,21,1.589,26.052,1.65,721,84
BOYACA,2013,579,1.703,23.799,1.122,873,96
BOYACA,2014,1.107,1.743,27.988,1.582,1.205,99
BOYACA,2015,587,1.692,29.137,1.74,1.309,111
CUNDINAMARCA,2010,0,3.38,6.577,1.615,560,14
CUNDINAMARCA,2011,0,1.121,6.944,1.788,687,9
CUNDINAMARCA,2012,0,1.419,8.413,1.452,697,13
CUNDINAMARCA,2013,817,450,8.947,1.221,622,13
CUNDINAMARCA,2014,1.23,2.988,9.57,1.424,1.347,14
CUNDINAMARCA,2015,167,4.865,13.424,1.605,1.81,33
NORTE DE SANTANDER,2010,,0,1.724,0,0,
NORTE DE SANTANDER,2011,,0,1.167,0,0,
