DEPARTAMENTO,ANO,TECNICA PROFESIONAL,TECNOLOGICA,UNIVERSITARIA,ESPECIALIZACION,MAESTRIA,DOCTORADO
ATLANTICO,2010,0,448,10745,1348,666,33
BOLIVAR,2010,213,2760,5760,194,0,0
CESAR,2010,0,0,763,90,0,0
CORDOBA,2010,0,0,5379,151,0,0
LA GUAJIRA,2010,0,0,0,0,0,0
MAGDALENA,2010,0,0,510,212,0,0
SAN ANDRES Y PROVIDENCIA,2010,0,0,0,0,7,0
SUCRE,2010,0,0,710,26,0,0
ATLANTICO,2011,0,517,12821,1373,801,47
BOLIVAR,2011,193,3738,10257,64,5,0
CESAR,2011,0,0,754,65,0,0
CORDOBA,2011,0,0,6064,309,0,0
LA GUAJIRA,2011,0,0,0,29,0,0
MAGDALENA,2011,0,0,663,198,0,0
SAN ANDRES Y PROVIDENCIA,2011,0,0,16,0,14,3
SUCRE,2011,0,216,691,74,0,0
ATLANTICO,2012,725,511,17299,1284,598,22
BOLIVAR,2012,658,5855,10894,102,25,0
CESAR,2012,0,0,1697,68,0,0
CORDOBA,2012,0,0,5775,299,0,0
LA GUAJIRA,2012,0,0,185,20,0,0
MAGDALENA,2012,0,0,2237,122,0,0
SAN ANDRES Y PROVIDENCIA,2012,0,0,40,26,12,1
SUCRE,2012,0,184,868,49,0,0
ATLANTICO,2013,216,533,17973,1404,774,52
BOLIVAR,2013,1265,7843,18356,1193,262,55
CESAR,2013,0,2,1878,43,0,0
CORDOBA,2013,99,53,6503,0,19,0
LA GUAJIRA,2013,98,0,175,28,0,0
MAGDALENA,2013,0,0,2517,201,0,0
SAN ANDRES Y PROVIDENCIA,2013,0,2,65,0,23,4
SUCRE,2013,215,116,1123,44,0,0
ATLANTICO,2014,1565,1875,25391,557,854,80
BOLIVAR,2014,1222,7709,19483,1142,237,73
CESAR,2014,0,4,1936,16,0,0
CORDOBA,2014,97,35,10067,293,65,0
LA GUAJIRA,2014,89,0,317,3,0,0
MAGDALENA,2014,0,0,2749,205,8,0
SAN ANDRES Y PROVIDENCIA,2014,31,1,47,0,13,7
SUCRE,2014,460,242,1703,3,0,0
ATLANTICO,2015,1318,1533,31686,625,1107,110
BOLIVAR,2015,2434,7610,19321,1166,451,68
CESAR,2015,0,3,1768,25,25,0
CORDOBA,2015,81,45,8344,293,44,0
LA GUAJIRA,2015,75,0,263,0,0,0
MAGDALENA,2015,0,0,6103,426,113,0
SAN ANDRES Y PROVIDENCIA,2015,0,0,39,0,16,12
SUCRE,2015,169,481,1271,43,33,0
BOGOTA D.C.,2010,4365,6690,139718,9757,8554,873
BOYACA,2010,0,1794,19497,1269,385,44
CUNDINAMARCA,2010,0,3380,6577,1615,560,14
NORTE DE SANTANDER,2010,0,0,1724,0,0,0
SANTANDER,2010,0,2154,30397,1541,485,78
BOGOTA D.C.,2011,5685,6912,158582,11227,11330,1234
BOYACA,2011,0,1655,23062,1345,669,28
CUNDINAMARCA,2011,0,1121,6944,1788,687,9
NORTE DE SANTANDER,2011,0,0,1167,0,0,0
SANTANDER,2011,50,1958,32614,1308,553,66
BOGOTA D.C.,2012,9737,8654,173272,11689,12033,1346
BOYACA,2012,21,1589,26052,1650,721,84
CUNDINAMARCA,2012,0,1419,8413,1452,697,13
NORTE DE SANTANDER,2012,0,0,1240,73,0,0
SANTANDER,2012,187,2439,37729,2388,1382,65
BOGOTA D.C.,2013,2156,8857,177575,13302,13031,1562
BOYACA,2013,579,1703,23799,1122,873,96
CUNDINAMARCA,2013,817,450,8947,1221,622,13
NORTE DE SANTANDER,2013,0,11,3372,130,0,0
SANTANDER,2013,384,2808,30564,1614,1163,88
BOGOTA D.C.,2014,1273,8163,192937,14907,15218,1629
BOYACA,2014,1107,1743,27988,1582,1205,99
CUNDINAMARCA,2014,1230,2988,9570,1424,1347,14
NORTE DE SANTANDER,2014,0,9,2724,196,50,0
SANTANDER,2014,752,2812,40157,2788,1399,96
BOGOTA D.C.,2015,1021,8084,205021,17647,17355,1898
BOYACA,2015,587,1692,29137,1740,1309,111
CUNDINAMARCA,2015,167,4865,13424,1605,1810,33
NORTE DE SANTANDER,2015,0,6,2865,202,47,0
SANTANDER,2015,374,3181,39982,3090,1672,123
AMAZONAS,2010,0,4,19,0,0,0
CAQUETA,2010,0,0,1180,0,0,0
HUILA,2010,0,0,4014,0,32,0
PUTUMAYO,2010,0,0,0,0,0,0
TOLIMA,2010,0,0,4494,0,0,0
AMAZONAS,2011,0,1,57,9,27,0
CAQUETA,2011,0,0,1295,0,0,0
HUILA,2011,0,0,4252,0,26,0
PUTUMAYO,2011,0,0,348,0,0,0
TOLIMA,2011,0,0,4407,0,0,0
AMAZONAS,2012,0,0,65,4,27,0
CAQUETA,2012,0,0,1720,0,0,0
HUILA,2012,0,0,5998,0,29,0
PUTUMAYO,2012,0,0,413,0,0,0
TOLIMA,2012,0,0,5653,45,57,0
AMAZONAS,2013,50,1,74,2,17,3
CAQUETA,2013,0,0,1194,0,0,0
HUILA,2013,0,1,6113,66,0,0
PUTUMAYO,2013,0,0,328,0,0,0
TOLIMA,2013,347,1,5826,182,33,0
AMAZONAS,2014,50,1,66,2,14,6
CAQUETA,2014,0,0,1545,0,0,0
HUILA,2014,0,0,5073,130,0,0
PUTUMAYO,2014,0,0,444,0,0,0
TOLIMA,2014,294,1,6151,142,28,0
AMAZONAS,2015,0,0,54,2,26,8
CAQUETA,2015,0,0,1900,0,0,0
HUILA,2015,0,0,5607,185,18,0
PUTUMAYO,2015,0,0,298,0,0,0
TOLIMA,2015,160,1,8374,202,25,0
ANTIOQUIA,2010,532,22284,78010,4908,2983,610
CALDAS,2010,1,1903,18071,515,666,76
QUINDIO,2010,0,0,1715,20,22,0
RISARALDA,2010,841,2038,14383,381,870,53
ANTIOQUIA,2011,620,18666,81142,5200,3618,694
CALDAS,2011,50,2378,17971,343,806,101
QUINDIO,2011,0,0,2435,197,41,0
RISARALDA,2011,444,2112,15654,287,942,46
ANTIOQUIA,2012,184,18412,93643,5103,3761,784
CALDAS,2012,45,2246,18711,392,778,124
QUINDIO,2012,0,0,3861,200,29,0
RISARALDA,2012,464,2153,15209,325,926,22
ANTIOQUIA,2013,705,23775,103091,5986,4348,958
CALDAS,2013,750,2423,18399,435,799,154
QUINDIO,2013,0,1,3902,233,0,0
RISARALDA,2013,498,2308,18161,434,933,43
ANTIOQUIA,2014,419,23122,105756,5923,4675,1129
CALDAS,2014,1489,2061,19848,496,953,183
QUINDIO,2014,0,2,3420,259,21,0
RISARALDA,2014,581,2581,18309,441,909,61
ANTIOQUIA,2015,1265,21341,109957,5683,5640,1290
CALDAS,2015,2140,3528,22407,1216,2699,374
QUINDIO,2015,0,0,2954,449,32,0
RISARALDA,2015,666,2467,19264,547,1125,67
ARAUCA,2010,0,0,0,0,0,0
CASANARE,2010,0,167,327,0,0,0
GUAINIA,2010,0,1,30,0,0,0
GUAVIARE,2010,0,0,0,0,0,0
META,2010,0,32,1753,0,0,0
VAUPES,2010,0,0,0,0,0,0
VICHADA,2010,0,0,0,0,0,0
ARAUCA,2011,0,0,0,0,0,0
CASANARE,2011,0,111,227,0,0,0
GUAINIA,2011,0,0,19,0,0,0
GUAVIARE,2011,0,0,0,0,0,0
META,2011,0,27,1745,0,0,0
VAUPES,2011,0,0,0,0,0,0
VICHADA,2011,0,0,0,0,0,0
ARAUCA,2012,0,0,0,0,0,0
CASANARE,2012,0,82,873,0,0,0
GUAINIA,2012,0,0,121,0,0,0
GUAVIARE,2012,0,0,97,0,0,0
META,2012,0,17,2485,48,0,0
VAUPES,2012,0,0,0,0,0,0
VICHADA,2012,0,0,48,0,0,0
ARAUCA,2013,0,0,0,0,0,0
CASANARE,2013,0,47,1092,7,17,0
GUAINIA,2013,0,0,132,0,0,0
GUAVIARE,2013,0,0,80,0,0,0
META,2013,199,32,3705,114,37,0
VAUPES,2013,0,0,0,0,0,0
VICHADA,2013,0,0,50,0,0,0
ARAUCA,2014,0,2,19,10,0,0
CASANARE,2014,0,42,1186,17,26,0
GUAINIA,2014,0,0,127,0,0,0
GUAVIARE,2014,0,0,89,0,0,0
META,2014,397,125,4823,111,82,0
VAUPES,2014,0,0,0,0,0,0
VICHADA,2014,0,0,44,0,0,0
ARAUCA,2015,0,1,16,0,0,0
CASANARE,2015,11,65,1230,51,49,0
GUAINIA,2015,0,0,113,0,0,0
GUAVIARE,2015,0,0,95,0,0,0
META,2015,0,4,5387,180,88,0
VAUPES,2015,0,0,0,0,0,0
VICHADA,2015,0,0,41,0,0,0
CAUCA,2010,0,0,3316,0,0,0
CHOCO,2010,0,0,0,0,13,0
NARINO,2010,0,0,3260,56,20,0
VALLE DEL CAUCA,2010,0,3785,44586,1796,2564,281
CAUCA,2011,0,42,4414,0,0,0
CHOCO,2011,0,0,0,0,9,0
NARINO,2011,0,0,4526,14,0,0
VALLE DEL CAUCA,2011,0,3786,46385,1744,3050,348
CAUCA,2012,0,64,5850,0,0,0
CHOCO,2012,0,0,169,0,11,0
NARINO,2012,0,0,5654,66,0,0
VALLE DEL CAUCA,2012,1454,4373,53111,2127,3219,359
CAUCA,2013,0,262,14786,309,253,79
CHOCO,2013,134,0,210,0,16,0
NARINO,2013,103,131,4673,49,73,0
VALLE DEL CAUCA,2013,1452,3958,53923,1985,3315,419
CAUCA,2014,0,299,15290,436,380,88
CHOCO,2014,150,0,274,0,47,0
NARINO,2014,121,156,5156,248,188,0
VALLE DEL CAUCA,2014,1610,4546,54855,2197,3266,444
CAUCA,2015,0,281,16167,371,535,97
CHOCO,2015,0,0,231,0,127,0
NARINO,2015,0,185,6417,250,155,0
VALLE DEL CAUCA,2015,1330,4835,51705,2307,3634,491
