DEPARTAMENTO,ANO,TECNICA PROFESIONAL,TECNOLOGICA,UNIVERSITARIA,ESPECIALIZACION,MAESTRIA,DOCTORADO
ATLANTICO,2010,5297,12083,63339,2322,690,33
BOLIVAR,2010,2603,18802,31854,796,54,0
CESAR,2010,376,4924,16067,123,0,0
CORDOBA,2010,1362,4210,21658,154,2,0
LA GUAJIRA,2010,1059,4579,8474,222,7,0
MAGDALENA,2010,1636,5599,15815,744,117,0
SAN ANDRES Y PROVIDENCIA,2010,574,1139,32,0,7,0
SUCRE,2010,891,1941,11208,594,0,0
ATLANTICO,2011,4075,16211,65541,3196,986,47
BOLIVAR,2011,3175,22931,36559,1424,49,11
CESAR,2011,187,5505,19398,298,0,0
CORDOBA,2011,846,4336,24274,758,126,0
LA GUAJIRA,2011,634,3821,8775,159,9,0
MAGDALENA,2011,2245,6586,21689,1064,115,0
SAN ANDRES Y PROVIDENCIA,2011,104,934,16,0,14,3
SUCRE,2011,2455,2052,12783,944,1,0
ATLANTICO,2012,4530,16286,69058,2455,1033,24
BOLIVAR,2012,2380,24463,37444,1200,87,42
CESAR,2012,128,6095,20657,181,0,0
CORDOBA,2012,820,4551,27018,601,165,0
LA GUAJIRA,2012,275,4073,8623,254,53,0
MAGDALENA,2012,2664,7859,23329,692,120,1
SAN ANDRES Y PROVIDENCIA,2012,148,991,44,51,12,1
SUCRE,2012,578,1680,13921,706,2,0
ATLANTICO,2013,6438,26231,73300,3333,1534,54
BOLIVAR,2013,1982,30590,38008,1740,359,55
CESAR,2013,174,7580,21652,165,3,0
CORDOBA,2013,1450,6023,28824,560,62,0
LA GUAJIRA,2013,1012,3652,8995,80,45,0
MAGDALENA,2013,3459,7706,25149,672,74,1
SAN ANDRES Y PROVIDENCIA,2013,194,1011,69,0,23,4
SUCRE,2013,1490,1587,15203,997,59,0
ATLANTICO,2014,9736,33268,78850,2635,1538,114
BOLIVAR,2014,1964,30639,38331,1670,327,73
CESAR,2014,296,8479,22130,190,4,0
CORDOBA,2014,2159,5445,30630,673,76,0
LA GUAJIRA,2014,984,4664,10858,141,23,0
MAGDALENA,2014,3516,6794,25767,808,89,32
SAN ANDRES Y PROVIDENCIA,2014,494,1321,47,44,13,7
SUCRE,2014,2466,1713,16125,724,3,0
ATLANTICO,2015,9417,33669,82498,2679,2076,114
BOLIVAR,2015,3310,31582,39872,1671,580,68
CESAR,2015,117,8967,22802,169,27,0
CORDOBA,2015,2003,3806,31299,930,181,0
LA GUAJIRA,2015,684,5242,14268,54,33,0
MAGDALENA,2015,3958,7022,27563,706,201,21
SAN ANDRES Y PROVIDENCIA,2015,410,1234,39,0,16,12
SUCRE,2015,2196,2137,15998,279,38,0
BOGOTA D.C.,2010,44862,101371,326124,31901,11508,1005
BOYACA,2010,747,11345,31352,1639,385,44
CUNDINAMARCA,2010,1555,25354,23986,1791,560,14
NORTE DE SANTANDER,2010,1833,10628,40136,1115,269,0
SANTANDER,2010,3205,31929,55454,3180,974,78
