,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION CENTRO ORIENTE 2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,MATRICULA TOTAL,MATRICULA ACREDITADA,PORCENTAJE,,,
,,BOGOTA,734.313,251.026,"34,2%",,,
,,BOYACA,62.307,34.576,"55,5%",,,
,,CUNDINAMARCA,77.034,21.904,"28,4%",,,
,,NORTE DE SANTANDER,67.585,3.120,"4,6%",,,
,,SANTANDER,129.523,48.422,"37,4%",,,
,,REGION CENTO ORIENTE,1.070.762,359.048,"33,5%",,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA ACREDITADA (IES Y PROGRAMAS) POR NIVEL DE FORMACION,,,,,,,
,,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014,2015
,BOGOTA D.C.,TECNICA PROFESIONAL,4.365,5.685,9.737,2.156,1.273,1.021
,,TECNOLOGICA,6.690,6.912,8.654,8.857,8.163,8.084
,,UNIVERSITARIA,139.718,158.582,173.272,177.575,192.937,205.021
,,ESPECIALIZACION,9.757,11.227,11.689,13.302,14.907,17.647
,,MAESTRIA,8.554,11.330,12.033,13.031,15.218,17.355
,,DOCTORADO,873,1.234,1.346,1.562,1.629,1.898
,Total BOGOTA D.C.,,169.957,194.970,216.731,216.483,234.127,251.026
,BOYACA,TECNICA PROFESIONAL,,,21,579,1.107,587
,,TECNOLOGICA,1.794,1.655,1.589,1.703,1.743,1.692
,,UNIVERSITARIA,19.497,23.062,26.052,23.799,27.988,29.137
,,ESPECIALIZACION,1.269,1.345,1.650,1.122,1.582,1.740
,,MAESTRIA,385,669,721,873,1.205,1.309
,,DOCTORADO,44,28,84,96,99,111
,Total BOYACA,,22.989,26.759,30.117,28.172,33.724,34.576
,CUNDINAMARCA,TECNICA PROFESIONAL,,,,817,1.230,167
,,TECNOLOGICA,3.380,1.121,1.419,450,2.988,4.865
,,UNIVERSITARIA,6.577,6.944,8.413,8.947,9.570,13.424
,,ESPECIALIZACION,1.615,1.788,1.452,1.221,1.424,1.605
,,MAESTRIA,560,687,697,622,1.347,1.810
,,DOCTORADO,14,9,13,13,14,33
,Total CUNDINAMARCA,,12.146,10.549,11.994,12.070,16.573,21.904
,NORTE DE SANTANDER,TECNOLOGICA,,,,11,9,6
,,UNIVERSITARIA,1.724,1.167,1.240,3.372,2.724,2.865
,,ESPECIALIZACION,,,73,130,196,202
,,MAESTRIA,,,,,50,47
,Total NORTE DE SANTANDER,,1.724,1.167,1.313,3.513,2.979,3.120
,SANTANDER,TECNICA PROFESIONAL,,50,187,384,752,374
,,TECNOLOGICA,2.154,1.958,2.439,2.808,2.812,3.181
,,UNIVERSITARIA,30.397,32.614,37.729,30.564,40.157,39.982
,,ESPECIALIZACION,1.541,1.308,2.388,1.614,2.788,3.090
,,MAESTRIA,485,553,1.382,1.163,1.399,1.672
,,DOCTORADO,78,66,65,88,96,123
,Total SANTANDER,,34.655,36.549,44.190,36.621,48.004,48.422
,REGION CENTRO ORIENTE,TECNICA PROFESIONAL,4.365,5.735,9.945,3.936,4.362,2.149
,,TECNOLOGICA,14.018,11.646,14.101,13.829,15.715,17.828
,,UNIVERSITARIA,197.913,222.369,246.706,244.257,273.376,290.429
,,ESPECIALIZACION,14.182,15.668,17.252,17.389,20.897,24.284
,,MAESTRIA,9.984,13.239,14.833,15.689,19.219,22.193
,,DOCTORADO,1.009,1.337,1.508,1.759,1.838,2.165
,Total REGION CENTRO ORIENTE,,241.471,269.994,304.345,296.859,335.407,359.048
