,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION CENTRO SUR Y AMAZONIA 2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,OFICIAL,PRIVADA,,,,
,,AMAZONAS,"71,4%","28,6%",,,,
,,CAQUETA,"97,6%","2,4%",,,,
,,HUILA,"68,4%","31,6%",,,,
,,TOLIMA,"67,3%","32,7%",,,,
,,PUTUMAYO,"85,9%","14,1%",,,,
,,REGION CENTRO SUR Y AMAZONIA,"72,1%","27,9%",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA POR SECTOR,,,,,,,
,,,,,,,,
,DEPARTAMENTO,SECTOR,2010,2011*,2012*,2013*,2014,2015
,AMAZONAS,OFICIAL,1.029,869,833,512,419,430
,,PRIVADA,117,157,80,221,237,172
,Total AMAZONAS,,1.146,1.026,913,733,656,602
,CAQUETA,OFICIAL,8.443,9.328,9.373,9.835,10.562,11.271
,,PRIVADA,371,426,306,337,347,276
,Total CAQUETA,,8.814,9.754,9.679,10.172,10.909,11.547
,HUILA,OFICIAL,19.836,20.690,22.030,24.214,24.224,26.018
,,PRIVADA,8.663,9.890,11.050,10.995,11.683,12.014
,Total HUILA,,28.499,30.580,33.080,35.209,35.907,38.032
,PUTUMAYO,OFICIAL,3.852,3.780,3.253,3.187,4.214,4.927
,,PRIVADA,57,652,662,560,790,810
,Total PUTUMAYO,,3.909,4.432,3.915,3.747,5.004,5.737
,TOLIMA,OFICIAL,22.605,27.745,30.064,32.089,34.762,32.792
,,PRIVADA,11.801,13.776,13.861,15.609,15.699,15.910
,Total TOLIMA,,34.406,41.521,43.925,47.698,50.461,48.702
,REGION CENTRO SUR Y AMAZONIA,OFICIAL,55.765,62.412,65.553,69.837,74.181,75.438
,,PRIVADA,21.009,24.901,25.959,27.722,28.756,29.182
,Total REGION CENTRO SUR Y AMAZONIA,,76.774,87.313,91.512,97.559,102.937,104.620
