,MINISTERIO DE EDUCACION NACIONAL,,,,,,,,,,,,,
,REGION LLANOS 2010 - 2015,,,,,,,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,PREGRADO,POSGRADO,,,,,,,,,,
,,ARAUCA,"99,3%","0,7%",,,,,,,,,,
,,CASANARE,"97,0%","3,0%",,,,,,,,,,
,,GUAINIA,"98,2%","1,8%",,,,,,,,,,
,,GUAVIARE,"99,5%","0,5%",,,,,,,,,,
,,META,"97,0%","3,0%",,,,,,,,,,
,,VAUPES,"84,6%","15,4%",,,,,,,,,,
,,VICHADA,"96,0%","4,0%",,,,,,,,,,
,,REGION LLANOS,"97,2%","2,8%",,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,MATRICULA POR NIVEL DE FORMACION,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014,2015,,,,,,
,ARAUCA,TECNICA PROFESIONAL,535,93,11,7,,1,,,,,,
,,TECNOLOGICA,1.045,1.211,1.532,1.148,814,898,,,,,,
,,UNIVERSITARIA,1.430,2.311,2.466,2.239,2.150,1.952,,,,,,
,,ESPECIALIZACION,58,38,,85,37,19,,,,,,
,Total ARAUCA,,3.068,3.653,4.009,3.479,3.001,2.870,,,,,,
,CASANARE,TECNICA PROFESIONAL,55,64,195,167,237,352,,,,,,
,,TECNOLOGICA,2.298,2.531,2.888,2.169,2.160,1.868,,,,,,
,,UNIVERSITARIA,5.767,6.631,6.915,6.386,6.874,7.232,,,,,,
,,ESPECIALIZACION,9,50,27,91,166,241,,,,,,
,,MAESTRIA,,,4,27,37,54,,,,,,
,Total CASANARE,,8.129,9.276,10.029,8.840,9.474,9.747,,,,,,
,GUAINIA,TECNICA PROFESIONAL,4,4,,2,55,41,,,,,,
,,TECNOLOGICA,324,360,345,221,257,343,,,,,,
,,UNIVERSITARIA,192,173,190,204,184,168,,,,,,
,,ESPECIALIZACION,1,24,7,13,3,8,,,,,,
,,MAESTRIA,,,,3,3,2,,,,,,
,Total GUAINIA,,521,561,542,443,502,562,,,,,,
,GUAVIARE,TECNICA PROFESIONAL,113,,,,,,,,,,,
,,TECNOLOGICA,930,940,1.330,1.518,1.398,1.732,,,,,,
,,UNIVERSITARIA,403,419,397,502,387,445,,,,,,
,,ESPECIALIZACION,18,8,32,21,39,12,,,,,,
,Total GUAVIARE,,1.464,1.367,1.759,2.041,1.824,2.189,,,,,,
,META,TECNICA PROFESIONAL,365,337,416,762,1.410,1.149,,,,,,
,,TECNOLOGICA,4.540,5.440,5.506,5.387,4.956,6.106,,,,,,
,,UNIVERSITARIA,15.965,18.760,20.322,23.023,23.163,23.978,,,,,,
,,ESPECIALIZACION,348,901,730,844,560,778,,,,,,
,,MAESTRIA,25,44,63,90,173,177,,,,,,
,Total META,,21.243,25.482,27.037,30.106,30.262,32.188,,,,,,
,VAUPES,TECNOLOGICA,168,211,266,344,129,192,,,,,,
,,UNIVERSITARIA,26,19,27,15,14,1,,,,,,
,,ESPECIALIZACION,,,,,,35,,,,,,
,Total VAUPES,,194,230,293,359,143,228,,,,,,
,VICHADA,TECNICA PROFESIONAL,58,15,20,21,17,12,,,,,,
,,TECNOLOGICA,484,451,700,581,479,579,,,,,,
,,UNIVERSITARIA,168,125,127,154,134,114,2010,2011,2012,2013,2014,2015
,,ESPECIALIZACION,3,34,19,11,8,29,,,,,,
,Total VICHADA,,713,625,866,767,638,734,,,,,,
,REGION LLANOS,TECNICA PROFESIONAL,1.130,513,642,959,1.719,1.555,,,,,,
,,TECNOLOGICA,9.789,11.144,12.567,11.368,10.193,11.718,,,,,,
,,UNIVERSITARIA,23.951,28.438,30.444,32.523,32.906,33.890,,,,,,
,,ESPECIALIZACION,437,1.055,815,1.065,813,1.122,,,,,,
,,MAESTRIA,25,44,67,120,213,233,,,,,,
,Total VICHADA,,35.332,41.194,44.535,46.035,45.844,48.518,,,,,,
