,MINISTERIO DE EDUCACION NACIONAL,,,,,,
,REGION PACIFICO 2010 - 2015,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,REGIONES,2010,2011*,2012*,2013*,2014,2015
,CAUCA,"26,6%","26,7%","24,0%","27,4%","29,1%","31,2%"
,CHOCO,"25,8%","24,1%","23,7%","23,5%","23,9%","24,1%"
,NARIÑO,"18,2%","21,4%","22,2%","22,8%","23,6%","23,2%"
,VALLE DEL CAUCA,"31,8%","34,7%","34,4%","37,2%","39,1%","41,0%"
,REGION PACIFICO,"27,6%","29,7%","29,3%","31,4%","32,9%","34,2%"
,NACIONAL,"37,1%","40,4%","41,7%","45,2%","47,8%","49,4%"
