,MINISTERIO DE EDUCACION NACIONAL,,,,,,
,REGION PACIFICO 2010 - 2015,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,
,,,,,,,
,,,,,,,
,,,PREGRADO,POSGRADO,,,
,,CAUCA,"90,0%","10,0%",,,
,,CHOCO,"93,4%","6,6%",,,
,,NARIÑO,"83,3%","16,7%",,,
,,VALLE DEL CAUCA,"85,0%","15,0%",,,
,,REGION PACIFICO,"85,8%","14,2%",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,GRADUADOS,,,,,,
,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014
,CAUCA,FORMACION TECNICA PROFESIONAL,1,26,42,22,48
,,TECNOLOGICA,223,1.667,2.513,2.077,2.307
,,UNIVERSITARIA,2.020,2.227,2.348,2.398,2.460
,,ESPECIALIZACION,407,410,389,571,493
,,MAESTRIA,15,39,26,30,36
,,DOCTORADO,1,,4,7,4
,Total CAUCA,,2.667,4.369,5.322,5.105,5.348
,CHOCO,FORMACION TECNICA PROFESIONAL,1,,148,133,
,,TECNOLOGICA,4,211,377,267,247
,,UNIVERSITARIA,1.123,1.675,1.585,1.214,1.608
,,ESPECIALIZACION,243,54,240,188,117
,,MAESTRIA,4,5,6,10,14
,Total CHOCO,,1.375,1.945,2.356,1.812,1.986
,NARIÑO,FORMACION TECNICA PROFESIONAL,71,88,75,50,88
,,TECNOLOGICA,485,977,1.063,1.625,1.792
,,UNIVERSITARIA,2.471,2.463,2.911,3.438,3.211
,,ESPECIALIZACION,493,570,591,606,835
,,MAESTRIA,85,41,86,99,181
,,DOCTORADO,3,,2,,7
,Total NARIÑO,,3.608,4.139,4.728,5.818,6.114
,VALLE DEL CAUCA,FORMACION TECNICA PROFESIONAL,653,1.135,2.021,1.816,1.638
,,TECNOLOGICA,2.942,6.893,8.229,8.826,8.964
,,UNIVERSITARIA,9.465,10.609,11.300,12.245,11.424
,,ESPECIALIZACION,1.967,2.922,2.883,3.301,2.597
,,MAESTRIA,552,833,1.102,1.264,1.235
,,DOCTORADO,23,38,36,44,59
,Total VALLE DEL CAUCA,,15.602,22.430,25.571,27.496,25.917
,REGION PACIFICO,FORMACION TECNICA PROFESIONAL,726,1.249,2.286,2.021,1.774
,,TECNOLOGICA,3.654,9.748,12.182,12.795,13.310
,,UNIVERSITARIA,15.079,16.974,18.144,19.295,18.703
,,ESPECIALIZACION,3.110,3.956,4.103,4.666,4.042
,,MAESTRIA,656,918,1.220,1.403,1.466
,,DOCTORADO,27,38,42,51,70
,Total REGION PACIFICO,,23.252,32.883,37.977,40.231,39.365
