,MINISTERIO DE EDUCACION NACIONAL,,,,,,,
,REGION PACIFICO 2010 - 2015,,,,,,,
,Fecha de corte de la información: mayo 16 de 2016,,,,,,,
,Fuente: Ministerio de Educación Nacional  - Sistema Nacional de Información de la Educación Superior  (SNIES) - DANE,,,,,,,
,La información suministrada corresponde a lo reportado por las instituciones a través del SNIES,,,,,,,
,*Cifras SENA ajustadas a diciembre de 2015,,,,,,,
,,,,,,,,
,,,,,,,,
,,,PREGRADO,POSGRADO,,,,
,,CAUCA,"96,6%","3,4%",,,,
,,CHOCO,"97,0%","3,0%",,,,
,,NARIÑO,"96,7%","3,3%",,,,
,,VALLE DEL CAUCA,"94,7%","5,3%",,,,
,,REGION PACIFICO,"95,4%","4,6%",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,MATRICULA POR NIVEL DE FORMACION,,,,,,,
,,,,,,,,
,DEPARTAMENTO,NIVEL DE FORMACION,2010,2011*,2012*,2013*,2014,2015
,CAUCA,TECNICA PROFESIONAL,1.587,438,196,65,157,452
,,TECNOLOGICA,12.375,12.027,10.298,11.470,11.494,12.461
,,UNIVERSITARIA,20.176,22.285,21.210,24.982,27.393,29.095
,,ESPECIALIZACION,533,793,404,705,765,777
,,MAESTRIA,119,208,34,301,432,588
,,DOCTORADO,41,80,,79,88,97
,Total CAUCA,,34.831,35.831,32.142,37.602,40.329,43.470
,CHOCO,TECNICA PROFESIONAL,20,,10,151,162,2
,,TECNOLOGICA,1.756,1.248,1.454,1.234,1.078,867
,,UNIVERSITARIA,12.641,12.213,11.720,11.548,11.740,12.059
,,ESPECIALIZACION,38,219,349,114,153,237
,,MAESTRIA,58,34,12,56,89,162
,Total CHOCO,,14.513,13.714,13.545,13.103,13.222,13.327
,NARIÑO,TECNICA PROFESIONAL,1.067,102,724,513,1.198,989
,,TECNOLOGICA,7.038,7.426,7.450,7.126,6.756,6.138
,,UNIVERSITARIA,19.500,25.247,26.288,28.128,29.511,30.044
,,ESPECIALIZACION,403,1.285,692,799,928,682
,,MAESTRIA,199,298,436,435,635,542
,,DOCTORADO,3,10,3,34,39,36
,Total NARIÑO,,28.210,34.368,35.593,37.035,39.067,38.431
,VALLE DEL CAUCA,TECNICA PROFESIONAL,6.591,6.723,6.428,7.843,7.971,8.249
,,TECNOLOGICA,38.179,43.772,42.196,48.327,50.479,52.188
,,UNIVERSITARIA,83.276,89.649,90.851,94.064,98.969,103.148
,,ESPECIALIZACION,2.786,3.339,4.042,3.584,3.902,4.059
,,MAESTRIA,2.928,3.744,3.988,4.189,4.142,4.603
,,DOCTORADO,281,348,359,419,461,524
,Total VALLE DEL CAUCA,,134.041,147.575,147.864,158.426,165.924,172.771
,REGION PACIFICO,TECNICA PROFESIONAL,9.265,7.263,7.358,8.572,9.488,9.692
,,TECNOLOGICA,59.348,64.473,61.398,68.157,69.807,71.654
,,UNIVERSITARIA,135.593,149.394,150.069,158.722,167.613,174.346
,,ESPECIALIZACION,3.760,5.636,5.487,5.202,5.748,5.755
,,MAESTRIA,3.304,4.284,4.470,4.981,5.298,5.895
,,DOCTORADO,325,438,362,532,588,657
,Total REGION PACIFICO,,211.595,231.488,229.144,246.166,258.542,267.999
