CATEGORÍA DE DEPARTAMENTO,CATEGORÍA DE MUNICIPIO,REGIÓN,CÓDIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CÓDIGO DANE DEL MUNICIPIO,MUNICIPIO,PRODUCTO O SERVICIO QUE ENTREGA EL PROGRAMA,META 2015 - 2018,AVANCE 2015 - 2018
4,6,Región Centro Sur,91,Amazonas,91798,Tarapacá (ANM),ZONAS WIFI GRATIS PARA LA GENTE,,
4,6,Región Centro Sur,91,Amazonas,91669,Puerto Santander (ANM),ZONAS WIFI GRATIS PARA LA GENTE,,
4,6,Región Centro Sur,91,Amazonas,91540,Puerto Nariño,ZONAS WIFI GRATIS PARA LA GENTE,,
4,6,Región Centro Sur,91,Amazonas,91536,Puerto Arica (ANM),ZONAS WIFI GRATIS PARA LA GENTE,,
4,6,Región Centro Sur,91,Amazonas,91530,Puerto Alegría (ANM),ZONAS WIFI GRATIS PARA LA GENTE,,
4,6,Región Centro Sur,91,Amazonas,91460,Miriti - Paraná (ANM),ZONAS WIFI GRATIS PARA LA GENTE,,
4,6,Región Centro Sur,91,Amazonas,91430,La Victoria (ANM),ZONAS WIFI GRATIS PARA LA GENTE,,
4,6,Región Centro Sur,91,Amazonas,91407,La Pedrera (ANM),ZONAS WIFI GRATIS PARA LA GENTE,,
4,6,Región Centro Sur,91,Amazonas,91405,La Chorrera (ANM),ZONAS WIFI GRATIS PARA LA GENTE,,
4,6,Región Centro Sur,91,Amazonas,91263,El Encanto (ANM),ZONAS WIFI GRATIS PARA LA GENTE,,
4,6,Región Centro Sur,91,Amazonas,91001,Leticia,ZONAS WIFI GRATIS PARA LA GENTE,,
4,5,Región Centro Sur,91,Amazonas,91000,,ZONAS WIFI GRATIS PARA LA GENTE,,
ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,5895,Zaragoza,ZONAS WIFI GRATIS PARA LA GENTE,1,1
ESP,5,Region Eje Cafetero - Antioquia,5,Antioquia,5893,Yondó,ZONAS WIFI GRATIS PARA LA GENTE,1,1
ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,5890,Yolombó,ZONAS WIFI GRATIS PARA LA GENTE,1,1
ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,5887,Yarumal,ZONAS WIFI GRATIS PARA LA GENTE,1,1
