REGIONES,2010%,2011*%,2012*%,2013*%,2014%,2015%,2010,2011*,2012*,2013*,2014,2015,,,,,,
ATLANTICO,37.9,40.2,42,49.5,56.8,58.4,379,402,"0,42",495,568,584,0.379,0.402,0.42,0.495,0.568,0.584
BOLIVAR,28,32.5,32.9,35.7,35.6,37.2,"0,28",325,329,357,356,372,0.28,0.325,0.329,0.357,0.356,0.372
CESAR,21.6,25,26.5,28.9,30.2,31.1,216,"0,25",265,289,302,311,0.216,0.25,0.265,0.289,0.302,0.311
CORDOBA,17,18.1,19.8,22,23.1,22.4,"0,17",181,198,"0,22",231,224,0.17,0.181,0.198,0.22,0.231,0.224
LA GUAJIRA,17.5,16.1,15.5,16,18.9,22.6,175,161,155,"0,16",189,226,0.175,0.161,0.155,0.16,0.189,0.226
MAGDALENA,20.5,26.6,28.9,30.4,29.6,31.1,205,266,289,304,296,311,0.205,0.266,0.289,0.304,0.296,0.311
SUCRE,17,20.7,19.2,21.7,24.1,24.2,"0,17",207,192,217,241,242,0.17,0.207,0.192,0.217,0.241,0.242
SAN ANDRES Y PROVIDENCIA,25.7,15.5,17.4,18.8,27.6,25.1,257,155,174,188,276,251,0.257,0.155,0.174,0.188,0.276,0.251
BOGOTA D.C.,73.6,81.5,85.6,92.1,98,101.3,736,815,856,921,"0,98",1013,0.736,0.815,0.856,0.921,0.98,1.013
BOYACA,39.6,42.3,46.2,48.7,50.8,52,396,423,462,487,508,"0,52",0.396,0.423,0.462,0.487,0.508,0.52
CUNDINAMARCA,21.1,20.4,22.6,26.1,29,30.3,211,204,226,261,"0,29",303,0.211,0.204,0.226,0.261,0.29,0.303
NORTE DE SANTANDER,42.7,46.3,41.9,45.6,47.7,49.8,427,463,419,456,477,498,0.427,0.463,0.419,0.456,0.477,0.498
SANTANDER,47.9,53.8,54.1,58.9,60.9,63.2,479,538,541,589,609,632,0.479,0.538,0.541,0.589,0.609,0.632
AMAZONAS,13.3,11.4,10.3,8.3,7.4,6.5,133,114,103,83,74,65,0.133,0.114,0.103,0.083,0.074,0.065
CAQUETA,19.1,20.6,20.1,20.9,22.3,23.2,191,206,201,209,223,232,0.191,0.206,0.201,0.209,0.223,0.232
HUILA,25.8,27.1,29,30.4,30.8,32.7,258,271,"0,29",304,308,327,0.258,0.271,0.29,0.304,0.308,0.327
TOLIMA,25.6,30.8,32.8,35.1,37.8,37.2,256,308,328,351,378,372,0.256,0.308,0.328,0.351,0.378,0.372
PUTUMAYO,11.5,12.5,11,10.2,13.4,15.5,115,125,"0,11",102,134,155,0.115,0.125,0.11,0.102,0.134,0.155
ANTIOQUIA,41,44.4,45.4,48.8,51,52.8,"0,41",444,454,488,"0,51",528,0.41,0.444,0.454,0.488,0.51,0.528
CALDAS,35.1,37.2,40.2,44.5,48.5,51,351,372,402,445,485,"0,51",0.351,0.372,0.402,0.445,0.485,0.51
QUINDIO,50.6,50.2,56.1,58.6,54.7,58.8,506,502,561,586,547,588,0.506,0.502,0.561,0.586,0.547,0.588
RISARALDA,42.4,44.2,45.4,50.1,56.3,56.8,424,442,454,501,563,568,0.424,0.442,0.454,0.501,0.563,0.568
ARAUCA,12.7,14.9,16.3,13.6,11.6,11,127,149,163,136,116,"0,11",0.127,0.149,0.163,0.136,0.116,0.11
CASANARE,23.8,26.6,28.5,24.7,26.1,26.5,238,266,285,247,261,265,0.238,0.266,0.285,0.247,0.261,0.265
GUAINIA,11.5,11.6,11.3,8.9,10.3,11.2,115,116,113,89,103,112,0.115,0.116,0.113,0.089,0.103,0.112
GUAVIARE,12.8,11.7,14.7,17.1,15.1,18.5,128,117,147,171,151,185,0.128,0.117,0.147,0.171,0.151,0.185
META,24.4,28.5,30.3,33.6,34,35.9,244,285,303,336,"0,34",359,0.244,0.285,0.303,0.336,0.34,0.359
VAUPES,4.2,4.9,6.3,7.7,3.1,4.2,42,49,63,77,31,42,0.042,0.049,0.063,0.077,0.031,0.042
VICHADA,9.9,8.1,11.4,10.1,8.3,9.2,99,81,114,101,83,92,0.099,0.081,0.114,0.101,0.083,0.092
CAUCA,26.6,26.7,24,27.4,29.1,31.2,266,267,"0,24",274,291,312,0.266,0.267,0.24,0.274,0.291,0.312
CHOCO,25.8,24.1,23.7,23.5,23.9,24.1,258,241,237,235,239,241,0.258,0.241,0.237,0.235,0.239,0.241
NARIÑO,18.2,21.4,22.2,22.8,23.6,23.2,182,214,222,228,236,232,0.182,0.214,0.222,0.228,0.236,0.232
VALLE DEL CAUCA,31.8,34.7,34.4,37.2,39.1,41,318,347,344,372,391,"0,41",0.318,0.347,0.344,0.372,0.391,0.41
