DEPARTAMENTO,SECTOR,2010,2011*,2012*,2013*,2014,2015
ATLANTICO,OFICIAL,28.214,34.910,36.612,47.247,54.493,55.039
ATLANTICO,PRIVADA,55.550,55.146,56.774,63.643,71.648,75.414
BOLIVAR,OFICIAL,26.756,32.623,32.361,35.807,35.904,37.456
BOLIVAR,PRIVADA,27.353,31.526,33.255,36.927,37.100,39.627
CESAR,OFICIAL,18.517,21.774,22.769,24.100,25.290,26.125
CESAR,PRIVADA,2.973,3.614,4.292,5.474,5.809,5.957
CORDOBA,OFICIAL,16.078,16.580,18.156,20.395,21.199,19.420
CORDOBA,PRIVADA,11.308,13.760,14.999,16.524,17.784,18.799
LA GUAJIRA,OFICIAL,14.065,13.059,13.016,13.329,16.395,20.101
LA GUAJIRA,PRIVADA,276,339,262,455,275,180
MAGDALENA,OFICIAL,18.300,23.921,26.926,28.420,27.968,30.321
MAGDALENA,PRIVADA,5.611,7.778,7.739,8.641,9.038,9.150
SAN ANDRES Y PROVIDENCIA,OFICIAL,1.713,1.071,1.192,1.277,1.908,1.699
SAN ANDRES Y PROVIDENCIA,PRIVADA,39,0,55,24,18,12
SUCRE,OFICIAL,7.539,7.694,6.903,7.453,8.361,8.371
SUCRE,PRIVADA,7.095,10.541,9.984,11.883,12.670,12.277
BOGOTA D.C.,OFICIAL,175.950,191.314,200.413,217.288,227.286,228.258
BOGOTA D.C.,PRIVADA,340.821,381.709,403.868,436.592,480.959,506.055
BOYACA,OFICIAL,37.952,39.129,41.379,43.304,45.127,45.011
BOYACA,PRIVADA,7.560,11.914,14.727,17.701,15.236,17.296
CUNDINAMARCA,OFICIAL,40.618,39.016,42.192,46.789,52.051,54.061
CUNDINAMARCA,PRIVADA,12.642,13.305,15.520,19.161,21.451,22.973
NORTE DE SANTANDER,OFICIAL,46.997,49.628,47.539,47.509,51.929,54.614
NORTE DE SANTANDER,PRIVADA,6.984,9.869,7.032,13.212,12.699,12.971
SANTANDER,OFICIAL,55.058,61.495,62.125,68.337,68.259,69.984
SANTANDER,PRIVADA,39.762,56.299,61.374,60.441,64.505,59.539
AMAZONAS,OFICIAL,1.029,869,833,512,419,430
AMAZONAS,PRIVADA,117,157,80,221,237,172
CAQUETA,OFICIAL,8.443,9.328,9.373,9.835,10.562,11.271
CAQUETA,PRIVADA,371,426,306,337,347,276
HUILA,OFICIAL,19.836,20.690,22.030,24.214,24.224,26.018
HUILA,PRIVADA,8.663,9.890,11.050,10.995,11.683,12.014
PUTUMAYO,OFICIAL,3.852,3.780,3.253,3.187,4.214,4.927
PUTUMAYO,PRIVADA,57,652,662,560,790,810
TOLIMA,OFICIAL,22.605,27.745,30.064,32.089,34.762,32.792
TOLIMA,PRIVADA,11.801,13.776,13.861,15.609,15.699,15.910
ANTIOQUIA,OFICIAL,158.484,171.881,171.910,180.477,183.233,187.362
ANTIOQUIA,PRIVADA,87.395,96.863,102.543,113.988,122.452,128.049
CALDAS,OFICIAL,25.614,25.845,27.114,28.303,29.975,29.753
CALDAS,PRIVADA,10.075,11.681,12.109,14.085,15.067,16.838
QUINDIO,OFICIAL,19.859,19.170,21.813,22.669,20.260,21.605
QUINDIO,PRIVADA,5.596,6.565,6.833,7.065,7.551,8.115
RISARALDA,OFICIAL,25.635,24.394,24.781,26.938,30.882,30.273
RISARALDA,PRIVADA,11.648,15.036,15.625,17.512,18.547,19.708
ARAUCA,OFICIAL,2.068,1.474,1.750,1.163,959,1.043
ARAUCA,PRIVADA,1.000,2.179,2.259,2.316,2.042,1.827
CASANARE,OFICIAL,5.234,5.321,5.352,3.814,3.583,3.345
CASANARE,PRIVADA,2.895,3.955,4.677,5.026,5.891,6.402
GUAINIA,OFICIAL,519,529,537,437,447,521
GUAINIA,PRIVADA,2,32,5,6,55,41
GUAVIARE,OFICIAL,1.464,1.367,1.732,1.981,1.771,2.106
GUAVIARE,PRIVADA,0,0,27,60,53,83
META,OFICIAL,12.323,13.872,13.210,13.266,12.285,13.215
META,PRIVADA,8.920,11.610,13.827,16.840,17.977,18.973
VAUPES,OFICIAL,194,230,293,359,143,227
VAUPES,PRIVADA,0,0,0,0,0,1
VICHADA,OFICIAL,673,569,815,711,588,699
VICHADA,PRIVADA,40,56,51,56,50,35
CAUCA,OFICIAL,27.505,26.782,22.852,27.625,28.729,31.042
CAUCA,PRIVADA,7.326,9.049,9.290,9.977,11.600,12.428
CHOCO,OFICIAL,13.846,12.520,12.074,11.831,11.611,11.881
CHOCO,PRIVADA,667,1.194,1.471,1.272,1.611,1.446
NARIÑO,OFICIAL,16.820,19.294,19.806,18.924,19.616,18.529
NARIÑO,PRIVADA,11.390,15.074,15.787,18.111,19.451,19.902
VALLE DEL CAUCA,OFICIAL,73.254,77.855,75.759,80.221,87.651,90.389
VALLE DEL CAUCA,PRIVADA,60.787,69.720,72.105,78.205,78.273,82.382
